angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"[513, 295, 262, 342]",0.0,0.0,0.0,0.97,0.02,0.0
0.01,"[528, 298, 261, 341]",0.0,0.0,0.01,0.9,0.07,0.0
0.01,"[525, 289, 268, 354]",0.0,0.0,0.02,0.94,0.02,0.0
0.0,"[530, 294, 263, 342]",0.0,0.0,0.01,0.97,0.02,0.0
0.02,"[524, 292, 264, 346]",0.0,0.01,0.03,0.92,0.03,0.0
0.08,"[513, 283, 261, 356]",0.0,0.01,0.01,0.83,0.06,0.0
0.06,"[499, 300, 250, 326]",0.0,0.01,0.03,0.86,0.05,0.0
0.02,"[483, 290, 263, 343]",0.0,0.01,0.01,0.93,0.03,0.0
0.09,"[481, 302, 259, 331]",0.0,0.02,0.01,0.81,0.07,0.01
0.06,"[471, 307, 262, 337]",0.0,0.02,0.01,0.85,0.05,0.01
0.06,"[479, 314, 254, 325]",0.0,0.01,0.01,0.86,0.05,0.0
0.04,"[481, 314, 262, 324]",0.0,0.01,0.0,0.91,0.04,0.0
0.02,"[481, 302, 269, 334]",0.0,0.0,0.0,0.95,0.02,0.0
0.02,"[481, 308, 265, 330]",0.0,0.01,0.01,0.94,0.02,0.0
0.05,"[491, 298, 258, 331]",0.0,0.0,0.0,0.92,0.02,0.01
0.02,"[496, 295, 265, 339]",0.0,0.0,0.0,0.94,0.03,0.0
0.04,"[495, 307, 260, 332]",0.0,0.03,0.0,0.69,0.23,0.0
0.05,"[491, 299, 266, 337]",0.0,0.01,0.0,0.84,0.09,0.01
0.05,"[478, 305, 275, 345]",0.0,0.01,0.0,0.87,0.07,0.0
0.02,"[479, 312, 259, 328]",0.0,0.02,0.0,0.7,0.26,0.0
0.0,"[480, 300, 266, 334]",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"[489, 298, 262, 339]",0.0,0.0,0.0,0.99,0.0,0.0
0.05,"[499, 297, 258, 343]",0.0,0.01,0.01,0.85,0.08,0.01
0.04,"[503, 289, 266, 357]",0.0,0.01,0.01,0.85,0.09,0.0
0.04,"[502, 290, 266, 353]",0.01,0.01,0.0,0.89,0.06,0.0
0.05,"[503, 295, 265, 350]",0.0,0.01,0.0,0.83,0.1,0.0
0.03,"[505, 304, 264, 338]",0.01,0.01,0.01,0.88,0.07,0.0
0.04,"[505, 302, 265, 344]",0.0,0.01,0.0,0.83,0.1,0.0
0.02,"[510, 310, 266, 339]",0.0,0.0,0.0,0.92,0.05,0.0
0.01,"[505, 309, 268, 351]",0.0,0.0,0.0,0.94,0.04,0.0
0.02,"[513, 302, 267, 349]",0.0,0.0,0.0,0.96,0.02,0.0
0.03,"[517, 306, 264, 346]",0.0,0.01,0.0,0.77,0.18,0.0
0.07,"[516, 304, 266, 347]",0.0,0.02,0.0,0.81,0.09,0.0
0.02,"[505, 311, 269, 348]",0.0,0.0,0.0,0.88,0.08,0.0
0.03,"[504, 310, 265, 348]",0.0,0.0,0.0,0.92,0.05,0.0
0.02,"[510, 306, 265, 347]",0.0,0.01,0.0,0.92,0.05,0.0
0.03,"[498, 314, 262, 340]",0.0,0.0,0.0,0.92,0.04,0.0
0.04,"[499, 311, 261, 343]",0.0,0.01,0.0,0.76,0.19,0.0
0.02,"[508, 300, 268, 347]",0.0,0.0,0.0,0.95,0.02,0.0
0.02,"[508, 303, 267, 347]",0.0,0.01,0.01,0.73,0.23,0.0
0.07,"[509, 304, 267, 345]",0.0,0.01,0.01,0.84,0.07,0.0
0.02,"[505, 306, 268, 347]",0.0,0.0,0.01,0.93,0.03,0.0
0.01,"[515, 301, 263, 342]",0.0,0.0,0.01,0.95,0.03,0.0
0.01,"[517, 296, 268, 348]",0.0,0.0,0.0,0.96,0.02,0.0
0.02,"[509, 292, 271, 357]",0.0,0.0,0.02,0.93,0.03,0.0
0.03,"[515, 299, 263, 343]",0.0,0.01,0.01,0.81,0.14,0.0
0.01,"[519, 306, 259, 342]",0.0,0.01,0.03,0.89,0.06,0.0
0.02,"[504, 306, 267, 350]",0.0,0.03,0.01,0.6,0.33,0.0
0.05,"[502, 297, 268, 355]",0.0,0.0,0.01,0.89,0.04,0.0
0.01,"[499, 302, 262, 346]",0.0,0.0,0.0,0.95,0.03,0.0
0.05,"[496, 308, 262, 346]",0.0,0.0,0.0,0.91,0.04,0.0
0.06,"[494, 295, 275, 359]",0.0,0.0,0.0,0.87,0.07,0.0
0.05,"[490, 305, 262, 346]",0.0,0.01,0.0,0.84,0.08,0.01
0.05,"[488, 304, 262, 348]",0.0,0.01,0.0,0.87,0.06,0.0
0.01,"[504, 298, 265, 342]",0.0,0.0,0.0,0.98,0.01,0.0
0.02,"[506, 302, 271, 346]",0.0,0.0,0.01,0.93,0.04,0.0
0.01,"[504, 307, 270, 350]",0.0,0.01,0.01,0.73,0.25,0.0
